Clubes,pontos,jogos,vitorias,derrotas,empates,saldo_gols,gols_pro,gols_contra,CA,CV,aproveitamento,Resultados
|1 0 Flamengo,79,38,23,5,10,51,78,27,78,5,69,
|2 0 Palmeiras,76,38,23,8,7,33,66,33,86,8,67,
|3 0 Cruzeiro,70,38,19,6,13,24,55,31,106,5,61,
|4 0 Mirassol,67,38,18,7,13,24,63,39,93,3,59,
|5 0 Fluminense,64,38,19,12,7,11,50,39,82,5,56,
|6 1 Botafogo,63,38,17,9,12,20,58,38,94,6,55,
|7 1 Bahia,60,38,17,12,9,4,50,46,86,6,53,
|8 0 São Paulo,51,38,14,15,9,-4,43,47,102,6,45,
|9 2 Grêmio,49,38,13,15,10,-3,47,50,111,6,43,
|10 1 RB Bragantino,48,38,14,18,6,-12,45,57,114,4,42,
|11 2 Atlético/MG,48,38,12,14,12,-1,43,44,96,9,42,
|12 2 Santos,47,38,12,15,11,-5,45,50,92,4,41,
|13 3 Corinthians,47,38,12,15,11,-5,42,47,110,9,41,
|14 2 Vasco,45,38,13,19,6,-5,55,60,79,6,39,
|15 2 Vitória,45,38,11,15,12,-17,35,52,109,9,39,
|16 2 Internacional,44,38,11,16,11,-13,44,57,90,7,39,
|17 2 Ceará,43,38,11,17,10,-6,34,40,89,4,38,
|18 2 Fortaleza,43,38,11,17,10,-15,43,58,108,10,38,
|19 0 Juventude,35,38,9,21,8,-34,35,69,110,7,31,
|20 0 Sport,17,38,2,25,11,-47,28,75,98,4,15,
